date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:13:34	10019/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:15:02%20GMT	http://noi.openjudge.cn/ch0111/10/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0111/10/index.html	(from http://noi.openjudge.cn/)
17:13:34	7483/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:15:02%20GMT	http://noi.openjudge.cn/ch0111/07/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0111/07/index.html	(from http://noi.openjudge.cn/)
17:13:34	7668/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:15:02%20GMT	http://noi.openjudge.cn/ch0111/03/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0111/03/index.html	(from http://noi.openjudge.cn/)
17:13:35	7784/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:15:03%20GMT	http://noi.openjudge.cn/ch0112/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0112/index.html	(from http://noi.openjudge.cn/)
17:13:35	7915/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:15:03%20GMT	http://noi.openjudge.cn/ch0112/09/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0112/09/index.html	(from http://noi.openjudge.cn/)
17:13:36	7284/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:15:04%20GMT	http://noi.openjudge.cn/ch0112/10/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0112/10/index.html	(from http://noi.openjudge.cn/)
17:13:36	7905/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:15:04%20GMT	http://noi.openjudge.cn/ch0112/03/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0112/03/index.html	(from http://noi.openjudge.cn/)
17:13:36	10304/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:15:04%20GMT	http://noi.openjudge.cn/ch0112/08/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0112/08/index.html	(from http://noi.openjudge.cn/)
17:13:37	8349/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:15:05%20GMT	http://noi.openjudge.cn/ch0112/05/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0112/05/index.html	(from http://noi.openjudge.cn/)
17:13:38	8501/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:15:05%20GMT	http://noi.openjudge.cn/ch0113/17/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0113/17/index.html	(from http://noi.openjudge.cn/)
